year,month,cat_id,monthly_sales
2011,1,FOODS,63110
2011,1,HOBBIES,9803
2011,1,HOUSEHOLD,15250
2011,2,FOODS,520250
2011,2,HOBBIES,77362
2011,2,HOUSEHOLD,128763
2011,3,FOODS,534914
2011,3,HOBBIES,83691
2011,3,HOUSEHOLD,144962
2011,4,FOODS,509568
2011,4,HOBBIES,86199
2011,4,HOUSEHOLD,141946
2011,5,FOODS,491753
2011,5,HOBBIES,87413
2011,5,HOUSEHOLD,140396
2011,6,FOODS,525861
2011,6,HOBBIES,84520
2011,6,HOUSEHOLD,142999
2011,7,FOODS,574495
2011,7,HOBBIES,89771
2011,7,HOUSEHOLD,155554
2011,8,FOODS,580152
2011,8,HOBBIES,84978
2011,8,HOUSEHOLD,160564
2011,9,FOODS,574927
2011,9,HOBBIES,79357
2011,9,HOUSEHOLD,159399
2011,10,FOODS,642127
2011,10,HOBBIES,88337
2011,10,HOUSEHOLD,167779
2011,11,FOODS,591297
2011,11,HOBBIES,80324
2011,11,HOUSEHOLD,151466
2011,12,FOODS,650410
2011,12,HOBBIES,87396
2011,12,HOUSEHOLD,149492
2012,1,FOODS,653360
2012,1,HOBBIES,82887
2012,1,HOUSEHOLD,157128
2012,2,FOODS,647943
2012,2,HOBBIES,82218
2012,2,HOUSEHOLD,167829
2012,3,FOODS,713326
2012,3,HOBBIES,88506
2012,3,HOUSEHOLD,185062
2012,4,FOODS,690974
2012,4,HOBBIES,84499
2012,4,HOUSEHOLD,169385
2012,5,FOODS,750398
2012,5,HOBBIES,77886
2012,5,HOUSEHOLD,169462
2012,6,FOODS,790613
2012,6,HOBBIES,91066
2012,6,HOUSEHOLD,213930
2012,7,FOODS,779599
2012,7,HOBBIES,84040
2012,7,HOUSEHOLD,217138
2012,8,FOODS,789020
2012,8,HOBBIES,74551
2012,8,HOUSEHOLD,239209
2012,9,FOODS,735178
2012,9,HOBBIES,74354
2012,9,HOUSEHOLD,254832
2012,10,FOODS,698890
2012,10,HOBBIES,75149
2012,10,HOUSEHOLD,232269
2012,11,FOODS,675351
2012,11,HOBBIES,70352
2012,11,HOUSEHOLD,214981
2012,12,FOODS,735616
2012,12,HOBBIES,74329
2012,12,HOUSEHOLD,220507
2013,1,FOODS,716285
2013,1,HOBBIES,79596
2013,1,HOUSEHOLD,212679
