item_id,store_id,cat_id,avg_daily_demand,std_demand,avg_price,total_sales,safety_stock,reorder_point,order_quantity,monthly_revenue,projected_annual_value,value_segment,cumulative_pct,abc_class,stockout_risk_score,days_until_reorder,priority
FOODS_3_090,CA_3,FOODS,99.57700592990128,68.6762894451829,1.3476241134751772,2636,299.0,996.0,2987.0,4025.77,61743.0,Premium,0.0098392915710068,A,0.33,10.0,Soon
FOODS_3_586,TX_2,FOODS,103.13601910039073,30.97213315705817,1.5959574468085107,1960,135.0,857.0,3094.0,4938.02,67161.64,Premium,0.0065595277140045,A,0.76,8.0,Soon
FOODS_3_090,CA_1,FOODS,66.06644677729689,48.549657976386335,1.38854609929078,1680,211.0,673.0,1982.0,2752.09,35477.35,Premium,0.0426369301410298,A,0.31,10.0,Soon
FOODS_3_586,TX_3,FOODS,73.41431417999823,22.31346160836472,1.5959574468085105,1660,97.0,611.0,2202.0,3514.98,46047.17,Premium,0.0196785831420137,A,0.75,8.0,Soon
FOODS_3_586,CA_3,FOODS,69.24118560630865,19.487041181313323,1.5956028368794326,1159,85.0,570.0,2077.0,3314.44,42187.24,Premium,0.0262381108560183,A,0.81,8.0,Soon
FOODS_3_090,WI_3,FOODS,49.03698500412498,46.99779056438292,1.3368439716312055,919,205.0,548.0,1471.0,1966.64,32030.3,Premium,0.0655952771400459,A,0.24,11.0,Soon
FOODS_3_252,TX_2,FOODS,62.01616974664052,21.387083421202465,1.5204255319148936,1186,93.0,527.0,1860.0,2828.73,36565.39,Premium,0.0360774024270252,A,0.66,8.0,Soon
FOODS_3_090,TX_2,FOODS,47.67859554459878,31.787236756150897,1.3785106382978725,667,138.0,472.0,1430.0,1971.76,30509.57,Premium,0.0754345687110528,A,0.34,10.0,Soon
FOODS_3_586,TX_1,FOODS,47.42794776389651,21.42739949095152,1.5959574468085107,1144,93.0,425.0,1423.0,2270.79,30291.27,Premium,0.0819940964250574,A,0.5,9.0,Soon
FOODS_3_090,TX_1,FOODS,34.22554844958084,42.2616492183065,1.369645390070922,1152,184.0,424.0,1027.0,1406.31,22150.33,High,0.1836667759921285,A,0.19,12.0,Soon
FOODS_3_587,CA_3,FOODS,43.97079185600416,26.008331686507105,2.505886524822695,667,113.0,421.0,1319.0,3305.57,50839.22,Premium,0.0131190554280091,A,0.39,10.0,Soon
